Plot,Range,Row,Pass,Rep,Pedigree,Length_mm,Width_mm,Area_mm2,Number of Kernels,mean_kernel_dia_mm,mean_kernel_weight_mg,Unnamed: 0,id,Rep_x,Image_id,Rep_y,area_cir_mm2,area_ellip_mm2
5057,5,58,15,3,Tx2882,3.758,3.86,10.957,8.0,2.852344394,30.192734,90.0,5057-Tx2882,3.0,7013_7013_3,3.0,16.89865782,16.86908945
6057,6,58,15,3,B.Tx642,4.152,3.732,11.356,9.0,3.004247904,31.54558775,,,,,,,
7057,7,58,15,3,SC348,4.279,4.215,13.822,6.0,3.470536431,42.66721725,102.0,7057-SC348,3.0,3021_3021_3,3.0,22.20674249,18.90194374
2061,2,62,16,3,SC283,4.11,3.887,11.798,10.0,2.902296901,31.97053318,73.0,2061-SC283,3.0,7025_7025_3,3.0,11.62156674,8.634658089
3061,3,62,16,3,RTx2536,3.827,3.75,11.161,9.0,2.597530312,28.15930155,79.0,3061-RTx2536,3.0,5013_5013_3,3.0,14.65866436,13.30298385
4061,4,62,16,3,KS19,4.059,3.464,10.417,9.0,2.716809511,26.36656041,85.0,4061-KS19,3.0,3017_3017_3,3.0,15.44398437,13.79226544
5061,5,62,16,3,BTx623_DW1,4.057,3.455,10.559,9.0,2.622746097,26.62551244,91.0,5061-BTx623,3.0,5017_5017_3,3.0,13.98257217,11.85942195
6061,6,62,16,3,R11018,4.202,4.059,12.862,5.0,2.978175688,35.01819267,97.0,6061-R11018,3.0,4013_4013_3,3.0,13.40493555,11.38281478
7061,7,62,16,3,2219-3_Stg2 NIL,4.072,3.741,11.228,10.0,2.820719051,29.40093975,,,,,,,
2065,2,66,17,3,SC56,4.312,3.937,12.622,9.0,3.092948649,36.71797604,74.0,2065-SC56,3.0,3013_3013_3,3.0,16.48354395,14.00711812
3065,3,66,17,3,RTx430,4.505,3.984,13.485,10.0,3.018122458,34.30109615,80.0,3065-RTx430,3.0,2025_2025_3,3.0,15.4918604,13.34959444
4065,4,66,17,3,M10P0052_BTx623,4.04,3.47,10.455,8.0,2.685562849,27.18989372,86.0,4065-M10P0052_BTx623,3.0,3009_3009_3,3.0,17.26832749,15.01332219
5065,5,66,17,3,P898012,3.698,3.15,9.191,8.0,2.53755331,20.24302483,92.0,5065-P898012,3.0,6017_6017_3,3.0,14.7427095,11.99362883
6065,6,66,17,3,RTx430_BL,4.352,4.007,13.003,9.0,3.112317774,35.85480436,,,,,,,
7065,7,66,17,3,PINK_KAFIR,3.73,3.204,9.038,8.0,2.654018432,23.08153021,,,,,,,
2069,2,70,18,3,6085-9_Stg4 NIL,4.067,3.983,11.99,9.0,2.80478051,33.53088231,,,,,,,
3069,3,70,18,3,BTx2752,4.13,3.448,10.59,10.0,2.762752008,26.23376522,81.0,3069-BTx2752,3.0,4017_4017_3,3.0,14.33750149,11.7307423
4069,4,70,18,3,Tx7000,4.173,3.92,12.128,9.0,2.936170499,32.40211974,87.0,4069-Tx7000,3.0,2013_2013_3,3.0,13.00172618,10.84874257
5069,5,70,18,3,R.Tx436,3.524,3.769,10.205,10.0,2.584804773,26.05449123,,,,,,,
6069,6,70,18,3,R9188,3.888,3.035,9.001,10.0,2.239385092,19.42135239,99.0,6069-R9188,3.0,5009_5009_3,3.0,12.59216417,9.915558605
7069,7,70,18,3,2290-19_Stg3 NIL,4.148,3.872,11.696,10.0,3.012687492,31.97053432,,,,,,,
2073,2,74,19,3,SC328,4.256,3.608,11.546,9.0,2.74888187,30.54298147,76.0,2073-SC328,3.0,7005_7005_3,3.0,10.19975457,8.100931476
3073,3,74,19,3,BTx615,4.597,3.615,12.021,10.0,3.107643867,31.1339222,82.0,3073-BTx615,3.0,4009_4009_3,3.0,12.66470558,9.766540934
4073,4,74,19,3,BTx642/Tx7000 NILStg1,4.365,4.004,12.775,6.0,2.949939132,35.0580314,,,,,,,
5073,5,74,19,3,B4R (BTx406/Rio),3.858,3.198,9.317,9.0,2.723855575,24.03599866,,,,,,,
6073,6,74,19,3,B10001,4.122,3.215,9.89,10.0,2.558394122,23.60441303,100.0,6073-B10001,3.0,6009_6009_3,3.0,17.25213148,14.0889152
7073,7,74,19,3,BTx635_DW2,3.895,3.347,9.791,10.0,2.915840316,26.2935236,106.0,7073-BTx635_DW2,3.0,3005_3005_3,3.0,11.20460759,9.192198044
