id,plot,img_name,Mach_Count,Pan_Count,Reg_Count,Spr_Count,Spr_Count_Adj
3025_P1,3025-2219-3_Stg2NIL,1. P1-WOF-Fr.jpg,1942,1260,2020,2192,2131
3025_P2,3025-2219-3_Stg2NIL,5. P2-WOF-Fr.jpg,2270,1852,2692,2140,2473
3025_P3,3025-2219-3_Stg2NIL,9. P3-WOF-Fr.jpg,1892,1232,2112,1882,2056
3025_P4,3025-2219-3_Stg2NIL,13. P4-WOF-Fr.jpg,1757,1060,1960,1749,1975
3029_P1,3029-KS19,1. P1-WOF-Fr.jpg,1013,1107,1544,870,1388
3029_P2,3029-KS19,5. P2-WOF-Fr.jpg,1118,1251,1664,1324,1334
3029_P3,3029-KS19,9. P3-WOF-Fr.jpg,1001,1032,1603,1213,798
3029_P4,3029-KS19,13. P4-WOF-Fr.jpg,758,1467,1671,946,1011
3033_P2,3033-P898012,5. P2-WOF-Fr.jpg,1001,887,1662,1112,1081
3033_P4,3033-P898012,13. P4-WOF-Fr.jpg,1064,966,1662,925,1077
3037_P1,3037-RTx430,1. P1-WOF-Fr.jpg,1015,930,1805,1086,1298
3037_P2,3037-RTx430,5. P2-WOF-Fr.jpg,1392,1397,1527,1436,1718
3037_P3,3037-RTx430,9. P3-WOF-Fr.jpg,852,917,1152,863,1219
3037_P4,3037-RTx430,13. P4-WOF-Fr.jpg,1669,944,1273,1718,1579
3041_P1,3041-B4R_BTx406_Rio,1. P1-WOF-Fr.jpg,1753,989,1575,1909,1762
3041_P2,3041-B4R_BTx406_Rio,5. P2-WOF-Fr.jpg,1705,944,1303,2171,1851
3041_P3,3041-B4R_BTx406_Rio,9. P3-WOF-Fr.jpg,1408,931,1316,1556,1721
3041_P4,3041-B4R_BTx406_Rio,13. P4-WOF-Fr.jpg,2162,1038,1483,2241,2090
3045_P1,3045-SC283,1. P1-WOF-Fr.jpg,633,256,1159,819,796
3045_P2,3045-SC283,5. P2-WOF-Fr.jpg,1000,662,1233,765,932
3045_P3,3045-SC283,9. P3-WOF-Fr.jpg,1010,615,1228,1162,922
3045_P4,3045-SC283,13. P4-WOF-Fr.jpg,486,264,1254,716,870
3049_P1,3049-BTx2752,1. P1-WOF-Fr.jpg,2072,2008,2529,2614,2387
3049_P2,3049-BTx2752,5. P2-WOF-Fr.jpg,1743,1917,2636,1778,1802
3049_P3,3049-BTx2752,9. P3-WOF-Fr.jpg,2191,2123,2981,2276,2420
3053_P1,3053-SC964,1. P1-WOF-Fr.jpg,1651,1024,1471,1728,1810
3053_P2,3053-SC964,5. P2-WOF-Fr.jpg,813,774,1554,753,861
3053_P3,3053-SC964,9. P3-WOF-Fr.jpg,1808,1316,1774,2109,1949
3053_P4,3053-SC964,13. P4-WOF-Fr.jpg,1441,1157,1683,1704,1865
3057_P1,3057-1790E_SC56_SC33,1. P1-WOF-Fr.jpg,494,525,1151,873,703
3057_P2,3057-1790E_SC56_SC33,5. P2-WOF-Fr.jpg,567,458,1246,589,1097
3057_P3,3057-1790E_SC56_SC33,9. P3-WOF-Fr.jpg,714,631,1114,1194,368
3057_P4,3057-1790E_SC56_SC33,13. P4-WOF-Fr.jpg,618,494,1075,533,989
3061_P1,3061-RTx2536,1. P1-WOF-Fr.jpg,2725,1483,1183,2807,2705
3061_P2,3061-RTx2536,5. P2-WOF-Fr.jpg,1917,1047,2017,2421,1910
3061_P3,3061-RTx2536,9. P3-WOF-Fr.jpg,1948,1225,1260,1795,2017
3061_P4,3061-RTx2536,13. P4-WOF-Fr.jpg,1909,1089,1348,1848,1556
3065_P1,3065-RTx430,1. P1-WOF-Fr.jpg,699,1006,1524,913,847
3065_P2,3065-RTx430,5. P2-WOF-Fr.jpg,1090,805,1711,1135,1312
3065_P3,3065-RTx430,9. P3-WOF-Fr.jpg,1033,1565,1694,870,1492
3065_P4,3065-RTx430,13. P4-WOF-Fr.jpg,1650,1368,1617,1749,1628
3069_P1,3069-BTx2752,1. P1-WOF-Fr.jpg,2776,1900,2375,2514,2566
3069_P2,3069-BTx2752,5. P2-WOF-Fr.jpg,2991,1822,2600,3020,2820
3069_P3,3069-BTx2752,9. P3-WOF-Fr.jpg,2920,1823,2679,2671,3048
3069_P4,3069-BTx2752,13. P4-WOF-Fr.jpg,2935,1593,2279,3191,2940
3073_P1,3073-BTx615,1. P1-WOF-Fr.jpg,2166,1541,1808,2031,2083
3073_P2,3073-BTx615,5. P2-WOF-Fr.jpg,1700,1193,1462,1713,1884
3073_P3,3073-BTx615,9. P3-WOF-Fr.jpg,1442,1186,595,1717,1570
3073_P4,3073-BTx615,13. P4-WOF-Fr.jpg,2020,1260,1835,1810,2261
4005_P1,4005-SN_72_PINK_KAFIR,1. P1-WOF-Fr.jpg,1244,978,1110,1422,1304
4005_P2,4005-SN_72_PINK_KAFIR,5. P2-WOF-Fr.jpg,1418,1244,826,1798,1489
4005_P3,4005-SN_72_PINK_KAFIR,9. P3-WOF-Fr.jpg,1541,908,1208,1308,1612
4005_P4,4005-SN_72_PINK_KAFIR,13. P4-WOF-Fr.jpg,1955,1113,1279,2043,1968
4009_P1,4009-BTx615,1. P1-WOF-Fr.jpg,2017,1287,1961,2113,2126
4009_P2,4009-BTx615,5. P2-WOF-Fr.jpg,2056,1335,1794,2255,2226
4009_P3,4009-BTx615,9. P3-WOF-Fr.jpg,2091,1529,1817,1871,2196
4009_P4,4009-BTx615,13. P4-WOF-Fr.jpg,1985,1222,1597,1760,2160
4013_P1,4013-R11018,1. P1-WOF-Fr.jpg,1762,1316,1643,1941,1825
4013_P2,4013-R11018,5. P2-WOF-Fr.jpg,1761,1050,1389,1894,1864
4013_P3,4013-R11018,9. P3-WOF-Fr.jpg,1822,1263,1725,1938,1939
4013_P4,4013-R11018,13. P4-WOF-Fr.jpg,1461,1126,1876,1638,1744
4017_P1,4017-BTx2752,1. P1-WOF-Fr.jpg,2212,1468,1101,2093,2299
4017_P2,4017-BTx2752,5. P2-WOF-Fr.jpg,2288,1232,1688,2348,2401
4017_P3,4017-BTx2752,9. P3-WOF-Fr.jpg,2259,1360,1674,2334,2407
4017_P4,4017-BTx2752,13. P4-WOF-Fr.jpg,3034,1910,1971,2814,3112
4021_P1,4021-6085-9_STG4NIL,1. P1-WOF-Fr.jpg,1899,1473,1687,2338,2056
4021_P2,4021-6085-9_STG4NIL,5. P2-WOF-Fr.jpg,1453,1248,1725,1657,1580
4021_P3,4021-6085-9_STG4NIL,9. P3-WOF-Fr.jpg,1833,1336,1201,1652,2025
4021_P4,4021-6085-9_STG4NIL,13. P4-WOF-Fr.jpg,2110,1577,1879,2277,2217
4029_P1,4029-2290-19_Stg3NIL,1. P1-WOF-Fr.jpg,943,1109,1665,908,964
4029_P2,4029-2290-19_Stg3NIL,5. P2-WOF-Fr.jpg,964,996,1182,1289,1060
4029_P3,4029-2290-19_Stg3NIL,9. P3-WOF-Fr.jpg,1154,1451,1784,1533,1215
4029_P4,4029-2290-19_Stg3NIL,13. P4-WOF-Fr.jpg,1654,1393,1650,1570,1438
4033_P1,4033-SC56,1. P1-WOF-Fr.jpg,1000,801,979,1357,1220
4033_P2,4033-SC56,5. P2-WOF-Fr.jpg,711,636,997,988,957
4033_P3,4033-SC56,9. P3-WOF-Fr.jpg,598,502,1146,972,804
4033_P4,4033-SC56,13. P4-WOF-Fr.jpg,652,518,1018,1240,802
4037_P1,4037-Macia,1. P1-WOF-Fr.jpg,2493,1581,2220,2431,2191
4037_P2,4037-Macia,5. P2-WOF-Fr.jpg,1904,1233,2079,1805,1873
4037_P3,4037-Macia,9. P3-WOF-Fr.jpg,2361,1625,2486,2182,2294
