id,plot_x,img_name_x,Mach_Count_x,Pan_Count,Reg_Count,plot_y,img_name_y,Mach_Count_y,Spr_Count_Adj
4005_P4,4005-SN_72_PINK_KAFIR,13. P4-WOF-Fr.jpg,1955,1113,1279,4005-SN_72_PINK_KAFIR,13. P4-WOF-Fr.jpg,1955.0,1968.0
4009_P1,4009-BTx615,1. P1-WOF-Fr.jpg,2017,1287,1961,4009-BTx615,1. P1-WOF-Fr.jpg,2017.0,2126.0
4009_P2,4009-BTx615,5. P2-WOF-Fr.jpg,2056,1335,1794,4009-BTx615,5. P2-WOF-Fr.jpg,2056.0,2226.0
4009_P3,4009-BTx615,9. P3-WOF-Fr.jpg,2091,1529,1817,4009-BTx615,9. P3-WOF-Fr.jpg,2091.0,2196.0
4009_P4,4009-BTx615,13. P4-WOF-Fr.jpg,1985,1222,1597,4009-BTx615,13. P4-WOF-Fr.jpg,1985.0,2160.0
4013_P1,4013-R11018,1. P1-WOF-Fr.jpg,1762,1316,1643,4013-R11018,1. P1-WOF-Fr.jpg,1762.0,1825.0
4013_P2,4013-R11018,5. P2-WOF-Fr.jpg,1761,1050,1389,4013-R11018,5. P2-WOF-Fr.jpg,1761.0,1864.0
4013_P3,4013-R11018,9. P3-WOF-Fr.jpg,1822,1263,1725,4013-R11018,9. P3-WOF-Fr.jpg,1822.0,1939.0
4013_P4,4013-R11018,13. P4-WOF-Fr.jpg,1461,1126,1876,4013-R11018,13. P4-WOF-Fr.jpg,1461.0,1744.0
4017_P1,4017-BTx2752,1. P1-WOF-Fr.jpg,2212,1468,1101,4017-BTx2752,1. P1-WOF-Fr.jpg,2212.0,2299.0
4017_P2,4017-BTx2752,5. P2-WOF-Fr.jpg,2288,1232,1688,4017-BTx2752,5. P2-WOF-Fr.jpg,2288.0,2401.0
4017_P3,4017-BTx2752,9. P3-WOF-Fr.jpg,2259,1360,1674,4017-BTx2752,9. P3-WOF-Fr.jpg,2259.0,2407.0
4017_P4,4017-BTx2752,13. P4-WOF-Fr.jpg,3034,1910,1971,4017-BTx2752,13. P4-WOF-Fr.jpg,3034.0,3112.0
4021_P1,4021-6085-9_STG4NIL,1. P1-WOF-Fr.jpg,1899,1473,1687,4021-6085-9_STG4NIL,1. P1-WOF-Fr.jpg,1899.0,2056.0
4021_P2,4021-6085-9_STG4NIL,5. P2-WOF-Fr.jpg,1453,1248,1725,4021-6085-9_STG4NIL,5. P2-WOF-Fr.jpg,1453.0,1580.0
4021_P3,4021-6085-9_STG4NIL,9. P3-WOF-Fr.jpg,1833,1336,1201,4021-6085-9_STG4NIL,9. P3-WOF-Fr.jpg,1833.0,2025.0
4021_P4,4021-6085-9_STG4NIL,13. P4-WOF-Fr.jpg,2110,1577,1879,4021-6085-9_STG4NIL,13. P4-WOF-Fr.jpg,2110.0,2217.0
4029_P1,4029-2290-19_Stg3NIL,1. P1-WOF-Fr.jpg,943,1109,1665,4029-2290-19_Stg3NIL,1. P1-WOF-Fr.jpg,943.0,964.0
4029_P2,4029-2290-19_Stg3NIL,5. P2-WOF-Fr.jpg,964,996,1182,4029-2290-19_Stg3NIL,5. P2-WOF-Fr.jpg,964.0,1060.0
4029_P3,4029-2290-19_Stg3NIL,9. P3-WOF-Fr.jpg,1154,1451,1784,4029-2290-19_Stg3NIL,9. P3-WOF-Fr.jpg,1154.0,1215.0
4029_P4,4029-2290-19_Stg3NIL,13. P4-WOF-Fr.jpg,1654,1393,1650,4029-2290-19_Stg3NIL,13. P4-WOF-Fr.jpg,1654.0,1438.0
4033_P1,4033-SC56,1. P1-WOF-Fr.jpg,1000,801,979,4033-SC56,1. P1-WOF-Fr.jpg,1000.0,1220.0
4033_P2,4033-SC56,5. P2-WOF-Fr.jpg,711,636,997,4033-SC56,5. P2-WOF-Fr.jpg,711.0,957.0
4033_P3,4033-SC56,9. P3-WOF-Fr.jpg,598,502,1146,4033-SC56,9. P3-WOF-Fr.jpg,598.0,804.0
4033_P4,4033-SC56,13. P4-WOF-Fr.jpg,652,518,1018,4033-SC56,13. P4-WOF-Fr.jpg,652.0,802.0
4037_P1,4037-Macia,1. P1-WOF-Fr.jpg,2493,1581,2220,4037-Macia,1. P1-WOF-Fr.jpg,2493.0,2191.0
4037_P2,4037-Macia,5. P2-WOF-Fr.jpg,1904,1233,2079,4037-Macia,5. P2-WOF-Fr.jpg,1904.0,1873.0
4037_P3,4037-Macia,9. P3-WOF-Fr.jpg,2361,1625,2486,4037-Macia,9. P3-WOF-Fr.jpg,2361.0,2294.0
4037_P4,4037-Macia,13. P4-WOF-Fr.jpg,2308,1339,2230,4037-Macia,13. P4-WOF-Fr.jpg,2308.0,2153.0
4045_P1,4045-BTx615,1. P1-WOF-Fr.jpg,1495,1046,1810,4045-BTx615,1. P1-WOF-Fr.jpg,1495.0,1564.0
