plot,id,img_name,Mach_Count,Spr_Count_Adj
7017BTx642,7017_P3,9. P3-WOF-Fr.jpg,689,816
7017BTx642,7017_P4,13. P4-WOF-Fr.jpg,713,842
7021-Macia,7021_P1,1. P1-WOF-Fr.jpg,3097,3195
7021-Macia,7021_P2,5. P2-WOF-Fr.jpg,2158,2263
7021-Macia,7021_P3,9. P3-WOF-Fr.jpg,2479,2568
7021-Macia,7021_P4,13. P4-WOF-Fr.jpg,1963,2037
7025-SC283,7025_P1,1. P1-WOF-Fr.jpg,1111,1180
7025-SC283,7025_P2,5. P2-WOF-Fr.jpg,879,942
7025-SC283,7025_P3,9. P3-WOF-Fr.jpg,661,681
7025-SC283,7025_P4,13. P4-WOF-Fr.jpg,802,831
2029-RTx436,2029_P1,1. P1-WOF-Fr.jpg,3370,3360
2029-RTx436,2029_P2,5. P2-WOF-Fr.jpg,2346,2323
2029-RTx436,2029_P3,9. P3-WOF-Fr.jpg,2707,2804
2029-RTx436,2029_P4,13. P4-WOF-Fr.jpg,2359,2675
2033-R11018,2033_P1,1. P1-WOF-Fr.jpg,1024,1132
2033-R11018,2033_P2,5. P2-WOF-Fr.jpg,1045,1151
2033-R11018,2033_P3,9. P3-WOF-Fr.jpg,1573,1991
2033-R11018,2033_P4,13. P4-WOF-Fr.jpg,1084,1391
2037-2219-3_Stg2NIL,2037_P1,1. P1-WOF-Fr.jpg,2033,1978
2037-2219-3_Stg2NIL,2037_P2,5. P2-WOF-Fr.jpg,1996,2153
2037-2219-3_Stg2NIL,2037_P3,9. P3-WOF-Fr.jpg,1830,1799
2037-2219-3_Stg2NIL,2037_P4,13. P4-WOF-Fr.jpg,2065,2007
2041-RTx430BL,2041_P1,1. P1-WOF-Fr.jpg,1359,1527
2041-RTx430BL,2041_P2,5. P2-WOF-Fr.jpg,1419,1137
2041-RTx430BL,2041_P3,9. P3-WOF-Fr.jpg,1359,1123
2041-RTx430BL,2041_P4,13. P4-WOF-Fr.jpg,548,643
2045-SC35-14E,2045_P1,1. P1-WOF-Fr.jpg,431,447
2045-SC35-14E,2045_P2,5. P2-WOF-Fr.jpg,465,750
2045-SC35-14E,2045_P3,9. P3-WOF-Fr.jpg,189,254
2045-SC35-14E,2045_P4,13. P4-WOF-Fr.jpg,338,282
2049-BTx642_Tx7000,2049_P1,1. P1-WOF-Fr.jpg,1127,1572
2049-BTx642_Tx7000,2049_P2,5. P2-WOF-Fr.jpg,1316,1392
2049-BTx642_Tx7000,2049_P3,9. P3-WOF-Fr.jpg,2369,2385
2049-BTx642_Tx7000,2049_P4,13. P4-WOF-Fr.jpg,1784,1561
2053-BTx623,2053_P1,1. P1-WOF-Fr.jpg,1415,1415
2053-BTx623,2053_P2,5. P2-WOF-Fr.jpg,1185,1346
2053-BTx623,2053_P3,9. P3-WOF-Fr.jpg,1698,1541
2053-BTx623,2053_P4,13. P4-WOF-Fr.jpg,1525,1701
2057-Macia,2057_P1,1. P1-WOF-Fr.jpg,1813,1756
2057-Macia,2057_P2,5. P2-WOF-Fr.jpg,1606,1636
2057-Macia,2057_P3,9. P3-WOF-Fr.jpg,2080,1992
2057-Macia,2057_P4,13. P4-WOF-Fr.jpg,1178,1697
2061-SC283,2061_P1,1. P1-WOF-Fr.jpg,255,496
2061-SC283,2061_P2,5. P2-WOF-Fr.jpg,416,424
2061-SC283,2061_P3,9. P3-WOF-Fr.jpg,932,1268
2065-SC56,2065_P1,1. P1-WOF-Fr.jpg,1280,1156
