id,plot,img_name,Mach_Count,Pan_Count,Reg_Count
4021_P3,4021-6085-9_STG4NIL,9. P3-WOF-Fr.jpg,1833,1336,1201
4021_P4,4021-6085-9_STG4NIL,13. P4-WOF-Fr.jpg,2110,1577,1879
4029_P1,4029-2290-19_Stg3NIL,1. P1-WOF-Fr.jpg,943,1109,1665
4029_P2,4029-2290-19_Stg3NIL,5. P2-WOF-Fr.jpg,964,996,1182
4029_P3,4029-2290-19_Stg3NIL,9. P3-WOF-Fr.jpg,1154,1451,1784
4029_P4,4029-2290-19_Stg3NIL,13. P4-WOF-Fr.jpg,1654,1393,1650
4033_P1,4033-SC56,1. P1-WOF-Fr.jpg,1000,801,979
4033_P2,4033-SC56,5. P2-WOF-Fr.jpg,711,636,997
4033_P3,4033-SC56,9. P3-WOF-Fr.jpg,598,502,1146
4033_P4,4033-SC56,13. P4-WOF-Fr.jpg,652,518,1018
4037_P1,4037-Macia,1. P1-WOF-Fr.jpg,2493,1581,2220
4037_P2,4037-Macia,5. P2-WOF-Fr.jpg,1904,1233,2079
4037_P3,4037-Macia,9. P3-WOF-Fr.jpg,2361,1625,2486
4037_P4,4037-Macia,13. P4-WOF-Fr.jpg,2308,1339,2230
4045_P1,4045-BTx615,1. P1-WOF-Fr.jpg,1495,1046,1810
4045_P2,4045-BTx615,5. P2-WOF-Fr.jpg,1113,750,1512
4045_P3,4045-BTx615,9. P3-WOF-Fr.jpg,1715,1161,1761
4045_P4,4045-BTx615,13. P4-WOF-Fr.jpg,915,948,1578
4049_P1,4049-B10001,1. P1-WOF-Fr.jpg,2023,1323,1528
4049_P2,4049-B10001,5. P2-WOF-Fr.jpg,1842,1053,923
4049_P3,4049-B10001,9. P3-WOF-Fr.jpg,1932,1184,1362
4049_P4,4049-B10001,13. P4-WOF-Fr.jpg,1592,1204,1290
4053_P2,4053-SC35-14E,5. P2-WOF-Fr.jpg,197,629,1230
4053_P3,4053-SC35-14E,9. P3-WOF-Fr.jpg,276,663,1136
4053_P4,4053-SC35-14E,13. P4-WOF-Fr.jpg,185,576,1226
4057_P1,4057-SC326-6,1. P1-WOF-Fr.jpg,2688,1432,1870
4057_P2,4057-SC326-6,5. P2-WOF-Fr.jpg,2732,1700,2175
4057_P3,4057-SC326-6,9. P3-WOF-Fr.jpg,2409,947,1648
4057_P4,4057-SC326-6,13. P4-WOF-Fr.jpg,2493,1069,1601
4061_P1,4061-KS19,1. P1-WOF-Fr.jpg,965,615,1053
4061_P2,4061-KS19,5. P2-WOF-Fr.jpg,1151,1179,1233
4061_P3,4061-KS19,9. P3-WOF-Fr.jpg,1297,866,1438
4061_P4,4061-KS19,13. P4-WOF-Fr.jpg,995,656,1053
4065_P1,4065-M10P0052_BTx623,1. P1-WOF-Fr.jpg,1000,1286,1478
4065_P2,4065-M10P0052_BTx623,5. P2-WOF-Fr.jpg,1260,1061,1396
4065_P3,4065-M10P0052_BTx623,9. P3-WOF-Fr.jpg,971,1074,1368
4065_P4,4065-M10P0052_BTx623,13. P4-WOF-Fr.jpg,1153,1185,1611
4069_P1,4069-Tx7000,1. P1-WOF-Fr.jpg,1643,1489,1658
4069_P2,4069-Tx7000,5. P2-WOF-Fr.jpg,1976,1685,1985
4069_P3,4069-Tx7000,9. P3-WOF-Fr.jpg,2013,1581,1939
4069_P4,4069-Tx7000,13. P4-WOF-Fr.jpg,1470,1503,1740
4073_P1,4073-BTx642_Tx7000,1. P1-WOF-Fr.jpg,1458,1330,1584
4073_P2,4073-BTx642_Tx7000,5. P2-WOF-Fr.jpg,1269,1203,1565
4073_P3,4073-BTx642_Tx7000,9. P3-WOF-Fr.jpg,1176,1204,1437
4073_P4,4073-BTx642_Tx7000,13. P4-WOF-Fr.jpg,1373,1357,1746
5005_P1,5005-SC35_14E,1. P1-WOF-Fr.jpg,1040,567,1162
5005_P2,5005-SC35_14E,5. P2-WOF-Fr.jpg,1258,799,1169
5005_P3,5005-SC35_14E,9. P3-WOF-Fr.jpg,1243,813,1610
5005_P4,5005-SC35_14E,13. P4-WOF-Fr.jpg,1588,1026,1609
5009_P1,5009-R9188,1. P1-WOF-Fr.jpg,2282,680,1521
5009_P2,5009-R9188,5. P2-WOF-Fr.jpg,1677,1023,1485
5009_P3,5009-R9188,9. P3-WOF-Fr.jpg,1968,1140,1701
5009_P4,5009-R9188,13. P4-WOF-Fr.jpg,2135,946,1575
5013_P1,5013-RTx2536,1. P1-WOF-Fr.jpg,1647,1424,1834
5013_P2,5013-RTx2536,5. P2-WOF-Fr.jpg,1812,1361,1545
