id,plot,img_name,Mach_Count,Predicted_Spr_Count,Spr_Count_Predicted
4069_P4,4069-Tx7000,13. P4-WOF-Fr.jpg,1470,1575,1257
4073_P1,4073-BTx642_Tx7000,1. P1-WOF-Fr.jpg,1458,1565,1579
4073_P2,4073-BTx642_Tx7000,5. P2-WOF-Fr.jpg,1269,1397,1179
4073_P3,4073-BTx642_Tx7000,9. P3-WOF-Fr.jpg,1176,1315,1412
4073_P4,4073-BTx642_Tx7000,13. P4-WOF-Fr.jpg,1373,1489,1301
5029_P1,5029-RLBF1,1. P1-WOF-Fr.jpg,1394,1508,1826
5029_P2,5029-RLBF1,5. P2-WOF-Fr.jpg,973,1135,974
5029_P3,5029-RLBF1,9. P3-WOF-Fr.jpg,1364,1481,1415
5029_P4,5029-RLBF1,13. P4-WOF-Fr.jpg,1721,1798,1965
5033_P1,5033-SC1154-14E,1. P1-WOF-Fr.jpg,587,793,540
5033_P2,5033-SC1154-14E,5. P2-WOF-Fr.jpg,597,802,849
5033_P3,5033-SC1154-14E,9. P3-WOF-Fr.jpg,346,580,848
5033_P4,5033-SC1154-14E,13. P4-WOF-Fr.jpg,461,681,351
5037_P1,5037-Tx7000,1. P1-WOF-Fr.jpg,1559,1654,1692
5037_P2,5037-Tx7000,5. P2-WOF-Fr.jpg,1707,1785,1839
5037_P3,5037-Tx7000,9. P3-WOF-Fr.jpg,2394,2394,2554
5037_P4,5037-Tx7000,13. P4-WOF-Fr.jpg,1717,1794,1540
5041_P1,5041-BTx623,1. P1-WOF-Fr.jpg,1186,1324,1053
5041_P2,5041-BTx623,5. P2-WOF-Fr.jpg,1275,1403,1510
5041_P3,5041-BTx623,9. P3-WOF-Fr.jpg,2489,2478,2539
5041_P4,5041-BTx623,13. P4-WOF-Fr.jpg,1261,1390,1442
5045_P1,5045-6085-9,1. P1-WOF-Fr.jpg,1763,1835,1906
5045_P2,5045-6085-9,5. P2-WOF-Fr.jpg,1070,1221,1081
5045_P3,5045-6085-9,9. P3-WOF-Fr.jpg,1254,1384,1432
5045_P4,5045-6085-9,13. P4-WOF-Fr.jpg,1734,1809,1869
5049_P1,5049-96CD635,1. P1-WOF-Fr.jpg,1332,1453,1306
5049_P2,5049-96CD635,5. P2-WOF-Fr.jpg,1798,1866,2249
5049_P3,5049-96CD635,9. P3-WOF-Fr.jpg,945,1110,1207
5049_P4,5049-96CD635,13. P4-WOF-Fr.jpg,1948,1999,1754
5053_P1,5053-96CD635,1. P1-WOF-Fr.jpg,1604,1694,1829
5053_P2,5053-96CD635,5. P2-WOF-Fr.jpg,2138,2167,1967
5053_P3,5053-96CD635,9. P3-WOF-Fr.jpg,1482,1586,1747
5053_P4,5053-96CD635,13. P4-WOF-Fr.jpg,2162,2188,2426
5057_P1,5057-Tx2882,1. P1-WOF-Fr.jpg,971,1133,965
5057_P2,5057-Tx2882,5. P2-WOF-Fr.jpg,855,1030,1228
5057_P3,5057-Tx2882,9. P3-WOF-Fr.jpg,1094,1242,1327
5057_P4,5057-Tx2882,13. P4-WOF-Fr.jpg,1093,1241,1410
5061_P1,5061-BTx623,1. P1-WOF-Fr.jpg,1308,1432,1821
5061_P2,5061-BTx623,5. P2-WOF-Fr.jpg,1173,1312,1262
5061_P3,5061-BTx623,9. P3-WOF-Fr.jpg,1424,1534,1380
5061_P4,5061-BTx623,13. P4-WOF-Fr.jpg,1259,1388,1206
5069_P1,5069-RTx436,1. P1-WOF-Fr.jpg,2923,2862,2695
5069_P2,5069-RTx436,5. P2-WOF-Fr.jpg,2466,2457,2442
5069_P3,5069-RTx436,9. P3-WOF-Fr.jpg,2872,2817,2887
5069_P4,5069-RTx436,13. P4-WOF-Fr.jpg,2674,2642,2699
5073_P1,5073-B4R_BTx406_Rio,1. P1-WOF-Fr.jpg,2104,2137,2307
5073_P2,5073-B4R_BTx406_Rio,5. P2-WOF-Fr.jpg,1614,1703,1705
5073_P3,5073-B4R_BTx406_Rio,9. P3-WOF-Fr.jpg,1751,1824,2123
5073_P4,5073-B4R_BTx406_Rio,13. P4-WOF-Fr.jpg,1536,1634,1579
6029_P1,6029-SN72_PinkKafir,1. P1-WOF-Fr.jpg,1617,1705,2264
6029_P2,6029-SN72_PinkKafir,5. P2-WOF-Fr.jpg,1648,1733,1861
6029_P3,6029-SN72_PinkKafir,9. P3-WOF-Fr.jpg,1882,1940,1764
6029_P4,6029-SN72_PinkKafir,13. P4-WOF-Fr.jpg,2631,2604,2384
6033_P1,6033-SC328,1. P1-WOF-Fr.jpg,1051,1204,1303
6033_P2,6033-SC328,5. P2-WOF-Fr.jpg,896,1067,1021
6033_P3,6033-SC328,9. P3-WOF-Fr.jpg,581,788,934
6033_P4,6033-SC328,13. P4-WOF-Fr.jpg,1251,1381,1478
6037_P1,6037-SC348,1. P1-WOF-Fr.jpg,1172,1311,1296
6037_P2,6037-SC348,5. P2-WOF-Fr.jpg,1355,1473,1299
6037_P3,6037-SC348,9. P3-WOF-Fr.jpg,980,1141,830
6037_P4,6037-SC348,13. P4-WOF-Fr.jpg,984,1145,1053
6041_P1,6041-RTx2536,1. P1-WOF-Fr.jpg,1198,1334,1510
6041_P2,6041-RTx2536,5. P2-WOF-Fr.jpg,2033,2074,2118
6041_P3,6041-RTx2536,9. P3-WOF-Fr.jpg,1836,1899,1644
6041_P4,6041-RTx2536,13. P4-WOF-Fr.jpg,2698,2663,2699
6045_P1,6045-BTx623_DW1,1. P1-WOF-Fr.jpg,961,1124,1203
6045_P2,6045-BTx623_DW1,5. P2-WOF-Fr.jpg,875,1048,867
6045_P3,6045-BTx623_DW1,9. P3-WOF-Fr.jpg,600,805,836
6045_P4,6045-BTx623_DW1,13. P4-WOF-Fr.jpg,439,662,674
6049_P1,6049-SC326-6,1. P1-WOF-Fr.jpg,2441,2435,2201
6049_P2,6049-SC326-6,5. P2-WOF-Fr.jpg,2876,2821,2894
6049_P3,6049-SC326-6,9. P3-WOF-Fr.jpg,2943,2880,2995
6049_P4,6049-SC326-6,13. P4-WOF-Fr.jpg,3039,2965,3187
6053_P1,6053-SC1154-14E,1. P1-WOF-Fr.jpg,256,500,716
6053_P2,6053-SC1154-14E,5. P2-WOF-Fr.jpg,445,667,384
6053_P3,6053-SC1154-14E,9. P3-WOF-Fr.jpg,406,633,440
6053_P4,6053-SC1154-14E,13. P4-WOF-Fr.jpg,553,763,869
6057_P1,6057-BTx642,1. P1-WOF-Fr.jpg,442,665,770
6057_P2,6057-BTx642,5. P2-WOF-Fr.jpg,526,739,845
6057_P3,6057-BTx642,9. P3-WOF-Fr.jpg,521,735,1526
6057_P4,6057-BTx642,13. P4-WOF-Fr.jpg,1055,1208,1325
6061_P1,6061-R11018,1. P1-WOF-Fr.jpg,1220,1354,1587
6061_P2,6061-R11018,5. P2-WOF-Fr.jpg,1441,1550,1745
6061_P3,6061-R11018,9. P3-WOF-Fr.jpg,1480,1584,1718
6061_P4,6061-R11018,13. P4-WOF-Fr.jpg,1016,1173,1108
6065_P1,6065-RTx430BL,1. P1-WOF-Fr.jpg,1334,1455,1611
6065_P2,6065-RTx430BL,5. P2-WOF-Fr.jpg,1208,1343,1184
6065_P3,6065-RTx430BL,9. P3-WOF-Fr.jpg,1079,1229,1180
6065_P4,6065-RTx430BL,13. P4-WOF-Fr.jpg,1117,1263,1163
6069_P1,6069-R9188,1. P1-WOF-Fr.jpg,1180,1318,1335
6069_P2,6069-R9188,5. P2-WOF-Fr.jpg,1514,1614,2090
6069_P3,6069-R9188,9. P3-WOF-Fr.jpg,1431,1541,1157
6069_P4,6069-R9188,13. P4-WOF-Fr.jpg,1914,1969,2109
6073_P1,6073-B10001,1. P1-WOF-Fr.jpg,1455,1562,1231
6073_P2,6073-B10001,5. P2-WOF-Fr.jpg,2126,2156,2059
6073_P3,6073-B10001,9. P3-WOF-Fr.jpg,1785,1854,2078
6073_P4,6073-B10001,13. P4-WOF-Fr.jpg,1886,1944,1957
7029_P1,7029-SC964,1. P1-WOF-Fr.jpg,1155,1296,1075
7029_P2,7029-SC964,5. P2-WOF-Fr.jpg,860,1035,888
7029_P3,7029-SC964,9. P3-WOF-Fr.jpg,1354,1472,1612
7029_P4,7029-SC964,13. P4-WOF-Fr.jpg,996,1155,1005
7033_P1,7033-M10P0052_BTx623,1. P1-WOF-Fr.jpg,867,1041,1086
7033_P2,7033-M10P0052_BTx623,5. P2-WOF-Fr.jpg,1344,1464,1473
7033_P3,7033-M10P0052_BTx623,9. P3-WOF-Fr.jpg,1527,1626,1492
7033_P4,7033-M10P0052_BTx623,13. P4-WOF-Fr.jpg,1480,1584,2024
7037_P1,7037-Tx2882,1. P1-WOF-Fr.jpg,1733,1808,1938
7037_P2,7037-Tx2882,5. P2-WOF-Fr.jpg,1519,1619,1203
7037_P3,7037-Tx2882,9. P3-WOF-Fr.jpg,1541,1638,1676
7037_P4,7037-Tx2882,13. P4-WOF-Fr.jpg,964,1127,991
7041_P1,7041-BTx642,1. P1-WOF-Fr.jpg,65,331,506
7041_P2,7041-BTx642,5. P2-WOF-Fr.jpg,52,319,156
7041_P3,7041-BTx642,9. P3-WOF-Fr.jpg,122,381,358
7041_P4,7041-BTx642,13. P4-WOF-Fr.jpg,181,433,537
7045_P1,7045-BTx635_DW2,1. P1-WOF-Fr.jpg,1499,1601,1779
7045_P2,7045-BTx635_DW2,5. P2-WOF-Fr.jpg,1431,1541,1294
7045_P3,7045-BTx635_DW2,9. P3-WOF-Fr.jpg,1260,1389,1321
7045_P4,7045-BTx635_DW2,13. P4-WOF-Fr.jpg,1882,1940,1843
7049_P1,7049-1790E_SC56_SC33,1. P1-WOF-Fr.jpg,929,1096,962
7049_P2,7049-1790E_SC56_SC33,5. P2-WOF-Fr.jpg,1006,1164,1527
7049_P3,7049-1790E_SC56_SC33,9. P3-WOF-Fr.jpg,884,1056,1139
7049_P4,7049-1790E_SC56_SC33,13. P4-WOF-Fr.jpg,901,1071,812
7053_P1,7053-RLBK1,1. P1-WOF-Fr.jpg,1319,1441,1630
7053_P2,7053-RLBK1,5. P2-WOF-Fr.jpg,564,773,1208
7053_P3,7053-RLBK1,9. P3-WOF-Fr.jpg,860,1035,1247
7053_P4,7053-RLBK1,13. P4-WOF-Fr.jpg,1961,2010,1698
7057_P1,7057-SC348,1. P1-WOF-Fr.jpg,1520,1620,1520
7057_P2,7057-SC348,5. P2-WOF-Fr.jpg,1098,1246,1506
7057_P3,7057-SC348,9. P3-WOF-Fr.jpg,671,867,722
7057_P4,7057-SC348,13. P4-WOF-Fr.jpg,1621,1709,1800
7061_P1,7061-2219-3,1. P1-WOF-Fr.jpg,800,982,1141
7061_P2,7061-2219-3,5. P2-WOF-Fr.jpg,1723,1799,1609
7061_P3,7061-2219-3,9. P3-WOF-Fr.jpg,1358,1476,1464
7061_P4,7061-2219-3,13. P4-WOF-Fr.jpg,1743,1817,1151
7065_P1,7065-SN72_PINK_KAFIR,1. P1-WOF-Fr.jpg,1815,1881,1670
7065_P2,7065-SN72_PINK_KAFIR,5. P2-WOF-Fr.jpg,1775,1845,1794
7065_P3,7065-SN72_PINK_KAFIR,9. P3-WOF-Fr.jpg,1101,1248,992
7065_P4,7065-SN72_PINK_KAFIR,13. P4-WOF-Fr.jpg,1556,1651,1987
7069_P1,7069-2290-19,1. P1-WOF-Fr.jpg,1976,2023,1730
7069_P2,7069-2290-19,5. P2-WOF-Fr.jpg,1370,1487,1396
7069_P3,7069-2290-19,9. P3-WOF-Fr.jpg,1165,1305,1332
7069_P4,7069-2290-19,13. P4-WOF-Fr.jpg,1421,1532,1828
7073_P1,7073-BTx635_DW2,1. P1-WOF-Fr.jpg,1765,1837,1542
7073_P2,7073-BTx635_DW2,5. P2-WOF-Fr.jpg,1000,1159,1398
7073_P3,7073-BTx635_DW2,9. P3-WOF-Fr.jpg,1905,1961,1963
7073_P4,7073-BTx635_DW2,13. P4-WOF-Fr.jpg,1341,1461,1259
